,Time,Miliseconds,Battery,Light,Temperature,Humidity,Noise dBA,Barometric pressure,VOC Gas CCS811,eCO2 Gas CCS811,PM 1.0,PM 2.5,PM 10.0
270,0,743,7,500,23.94,39.59,48.68,100.93,none,none,1,1,1
271,0,745,7,501,23.91,39.51,49.73,100.93,none,none,1,1,1
272,0,744,7,500,23.94,39.55,48.85,100.93,none,none,1,1,1
273,0,744,7,500,23.9,39.48,47.54,100.93,none,none,1,1,1
274,0,745,7,500,23.93,39.48,48.9,100.93,none,none,1,1,1
275,0,744,7,500,23.91,39.44,47.4,100.93,none,none,1,1,1
276,0,744,7,500,23.91,39.44,49.57,100.93,none,none,1,1,1
277,0,744,7,500,23.93,39.46,49.05,100.93,none,none,1,1,1
278,0,744,7,501,23.91,39.47,48.1,100.93,none,none,1,1,1
279,0,744,7,500,23.93,39.5,48.71,100.93,none,none,1,1,1
280,0,745,7,500,23.91,39.5,48.81,100.93,none,none,1,1,1
281,0,744,7,500,23.91,39.59,49.54,100.93,none,none,none,none,none
282,0,3206,7,500,23.91,39.65,48.75,100.93,972.00,2124.00,none,none,none
283,0,774,7,501,23.91,39.65,48.17,100.93,972.00,2124.00,none,none,none
284,0,745,7,498,23.9,39.62,51.89,100.93,972.00,2124.00,none,none,none
285,0,745,7,500,23.88,39.56,47.3,100.93,972.00,2124.00,none,none,none
286,0,745,7,500,23.91,39.47,49.14,100.93,972.00,2124.00,none,none,none
287,0,745,7,500,23.88,39.51,49.01,100.93,972.00,2124.00,none,none,none
288,0,743,7,501,23.88,39.43,48.62,100.93,972.00,2124.00,none,none,none
289,0,743,7,501,23.9,39.36,48.05,100.93,972.00,2124.00,none,none,none
290,0,745,7,500,23.93,39.36,48.5,100.93,972.00,2124.00,none,none,none
291,0,745,7,501,23.91,39.28,49.32,100.93,972.00,2124.00,none,none,none
292,0,747,7,501,23.88,39.28,48.21,100.93,972.00,2124.00,none,none,none
293,0,747,7,500,23.9,39.3,49.87,100.93,972.00,2124.00,none,none,none
294,0,745,7,498,23.9,39.28,48.64,100.93,972.00,2124.00,none,none,none
295,0,747,7,498,23.9,39.28,49.92,100.93,972.00,2124.00,none,none,none
296,0,746,7,501,23.91,39.27,48.39,100.93,972.00,2124.00,none,none,none
297,0,747,7,501,23.91,39.27,49.24,100.93,972.00,2124.00,none,none,none
298,0,747,7,501,23.9,39.28,47.36,100.93,972.00,2124.00,none,none,none
299,0,746,7,500,23.88,39.34,48.96,100.93,972.00,2124.00,none,none,none
300,0,747,7,501,23.85,39.48,48.44,100.93,972.00,2124.00,none,none,none
301,0,745,7,500,23.87,39.57,50.54,100.93,972.00,2124.00,3,3,3
302,0,1329,7,501,23.9,39.52,48.82,100.93,972.00,2124.00,3,3,3
303,0,745,7,500,23.85,39.54,49.33,100.93,972.00,2124.00,3,3,3
304,0,747,7,501,23.88,39.49,49.28,100.93,972.00,2124.00,3,3,3
305,0,746,7,501,23.88,39.55,48.55,100.93,972.00,2124.00,3,3,3
306,0,746,7,500,23.88,39.52,48.79,100.93,972.00,2124.00,3,3,3
307,0,747,7,502,23.9,39.55,60.01,100.93,972.00,2124.00,3,3,3
308,0,747,7,501,23.9,39.57,48.62,100.93,972.00,2124.00,3,3,3
309,0,745,7,500,23.88,39.53,48.74,100.93,972.00,2124.00,3,3,3
310,0,746,7,500,23.88,39.58,49.21,100.93,972.00,2124.00,3,3,3
311,0,746,7,500,23.87,39.81,48.8,100.93,972.00,2124.00,3,3,3
312,0,746,7,501,23.88,39.9,49.2,100.93,972.00,2124.00,3,3,3
313,0,746,7,501,23.85,39.88,48.59,100.93,972.00,2124.00,3,3,3
314,0,746,7,500,23.87,39.91,49.52,100.93,972.00,2124.00,3,3,3
315,0,747,7,500,23.87,40.06,48.18,100.93,972.00,2124.00,3,3,3
316,0,747,7,500,23.88,40.25,49.93,100.92,972.00,2124.00,3,3,3
317,0,745,7,502,23.88,40.31,47.91,100.93,972.00,2124.00,3,3,3
318,0,747,7,500,23.88,40.28,48.35,100.93,972.00,2124.00,3,3,3
319,0,746,7,500,23.9,40.29,48.26,100.93,972.00,2124.00,3,3,3
320,0,747,7,500,23.88,40.42,49.57,100.93,972.00,2124.00,3,3,3
321,0,746,7,498,23.88,40.5,48.5,100.93,972.00,2124.00,none,none,none
322,0,3208,7,498,23.83,40.1,48.72,100.93,972.00,2124.00,none,none,none
323,0,746,7,498,23.87,40.02,48.99,100.93,972.00,2124.00,none,none,none
324,0,746,7,500,23.84,39.94,48.35,100.93,972.00,2124.00,none,none,none
325,0,746,7,498,23.85,39.83,49.5,100.93,972.00,2124.00,none,none,none
326,0,746,7,500,23.87,39.77,48.53,100.93,972.00,2124.00,none,none,none
327,0,747,7,501,23.84,39.74,48.7,100.92,972.00,2124.00,none,none,none
328,0,746,7,500,23.87,39.63,49.26,100.92,972.00,2124.00,none,none,none
329,0,746,7,501,23.87,39.6,49.94,100.93,972.00,2124.00,none,none,none
330,0,747,7,500,23.85,39.64,49.13,100.93,972.00,2124.00,none,none,none
331,0,746,7,500,23.87,39.61,47.95,100.93,972.00,2124.00,none,none,none
332,0,746,7,502,23.81,39.52,49.01,100.93,972.00,2124.00,none,none,none
